model,prediction_rmse_deg,simulation_rmse_deg
simple NARX ANN,2.441773543414582,16.129728756383322
advanced GRU ANN,0.2024676965297111,2.0305970335893213
advanced LSTM ANN,0.2347093879831659,1.8930117435337408
"LSTM h=10, n=20",0.4582170457764667,2.432525287540293
"LSTM h=15, n=20",0.3944833148771602,2.226592682627333
"LSTM h=15, n=40",0.2669129033888036,2.384135565669274
"LSTM h=15, n=60",0.2176396170621709,1.7712606613169353
